TEMPC;TEMPK;NBDAYS_EMBRY;NBDAYS_PUP;NBDAYS_EMER;TOTALDAY_EGG_ADULT;NBDAYS_FRSTGONO;NBDAYS_LATEGONO
1;274;20;231;24;276;52;30
2;275;18;194;22;234;46;27
3;276;17;163;20;200;42;24
4;277;16;136;18;170;37;22
5;278;15;115;16;146;34;19
6;279;14;97;15;125;30;18
7;280;13;81;13;107;27;16
8;281;12;69;12;93;25;14
9;282;11;58;11;80;22;13
10;283;10;49;10;69;20;12
11;284;10;42;9;60;18;10
12;285;9;35;8;52;16;9
13;286;8;30;7;46;15;9
14;287;8;25;7;40;13;8
15;288;7;22;6;35;12;7
16;289;7;18;6;31;11;6
17;290;6;16;5;27;10;6
18;291;6;14;5;24;9;5
19;292;6;12;4;21;8;5
20;293;5;10;4;19;7;4
21;294;5;9;4;17;7;4
22;295;5;8;3;16;6;4
23;296;4;7;3;14;6;3
24;297;4;6;3;13;5;3
25;298;4;5;2;11;5;3
26;299;3;5;2;10;4;2
27;300;3;4;2;9;4;2
28;301;3;4;2;9;4;2
29;302;3;4;2;9;3;2
30;303;3;3;2;8;3;2
31;304;3;3;1;7;3;2
32;305;2;3;1;6;2;1
33;306;2;4;1;7;2;1
34;307;2;4;1;7;2;1
35;308;2;4;1;7;2;1
36;309;2;4;1;7;2;1
37;310;2;5;1;8;2;1
38;311;2;5;1;8;1;1
39;312;2;6;1;9;1;1
40;313;1;7;1;9;1;1
41;314;1;8;1;10;1;1
42;315;1;9;1;11;1;1
43;316;1;10;1;12;1;1
44;317;1;12;1;13;1;1
45;318;1;14;0;15;1;0
46;319;1;16;0;17;1;0
47;320;1;18;0;19;1;0
48;321;1;21;0;22;1;0
49;322;1;24;0;25;1;0
50;323;1;27;0;29;1;0
