DATE,SUNRISE,SUNSET
1/1/2012,7.14,17.35
2/1/2012,7.14,17.36
3/1/2012,7.14,17.36
4/1/2012,7.14,17.37
5/1/2012,7.15,17.38
6/1/2012,7.15,17.38
7/1/2012,7.15,17.39
8/1/2012,7.15,17.4
9/1/2012,7.15,17.41
10/1/2012,7.15,17.42
11/1/2012,7.15,17.42
12/1/2012,7.15,17.43
13/01/2012,7.15,17.44
14/01/2012,7.15,17.45
15/01/2012,7.15,17.46
16/01/2012,7.15,17.46
17/01/2012,7.15,17.47
18/01/2012,7.15,17.48
19/01/2012,7.14,17.49
20/01/2012,7.14,17.5
21/01/2012,7.14,17.5
22/01/2012,7.14,17.51
23/01/2012,7.13,17.52
24/01/2012,7.13,17.53
25/01/2012,7.13,17.54
26/01/2012,7.12,17.55
27/01/2012,7.12,17.56
28/01/2012,7.12,17.56
29/01/2012,7.11,17.57
30/01/2012,7.11,17.58
31/01/2012,7.1,17.59
1/2/2012,7.1,18
2/2/2012,7.09,18
3/2/2012,7.09,18.01
4/2/2012,7.08,18.02
5/2/2012,7.07,18.03
6/2/2012,7.07,18.04
7/2/2012,7.06,18.04
8/2/2012,7.05,18.05
9/2/2012,7.05,18.06
10/2/2012,7.04,18.07
11/2/2012,7.03,18.08
12/2/2012,7.03,18.08
13/02/2012,7.02,18.09
14/02/2012,7.01,18.1
15/02/2012,7,18.11
16/02/2012,6.59,18.11
17/02/2012,6.58,18.12
18/02/2012,6.58,18.13
19/02/2012,6.57,18.14
20/02/2012,6.56,18.14
21/02/2012,6.55,18.15
22/02/2012,6.54,18.16
23/02/2012,6.53,18.16
24/02/2012,6.52,18.17
25/02/2012,6.51,18.18
26/02/2012,6.5,18.18
27/02/2012,6.49,18.19
28/02/2012,6.48,18.2
29/02/2012,6.47,18.2
1/3/2012,6.46,18.21
2/3/2012,6.45,18.22
3/3/2012,6.44,18.22
4/3/2012,6.43,18.23
5/3/2012,6.42,18.24
6/3/2012,6.41,18.24
7/3/2012,6.4,18.25
8/3/2012,6.39,18.25
9/3/2012,6.37,18.26
10/3/2012,6.36,18.27
11/3/2012,6.35,18.27
12/3/2012,6.34,18.28
13/03/2012,6.33,18.28
14/03/2012,6.32,18.29
15/03/2012,6.31,18.3
