strClassName,fRecCapaRate,socialClass,fsurfPrivRate,fSurfPubRate,fSurfTransRate,fNectarSourceRate,fRestSourceRate,fOutSpaceRate,fDenBsInNoWater,fDenBsOutNoWater,color,fTempVarRate,fPorosityMin,fPorosityMax
builtup_h,0.042065347,low,0.85,0.025,0,0.01,0.9,0.1,0.153199741,1.429217841,grey,1.07,0.3,0.5
builtup_l,0.037224719,high,0.955357143,0.044642857,0,0.186428571,0.9,0.1,0.014472462,0.00231261,grey,1.07,0.3,0.5
builtup_m,0.053202614,middle,0.82,0.17,0,0.07,0.9,0.1,0.081847413,0.055247004,grey,1.07,0.3,0.5
tree,0.037126263,none,0,1,0,0.825,0.7,1,0,0.001,grey,0.9,0.9,1
public,0.020695652,none,0,1,0,0.2,0,1,0.011120461,0.010692751,grey,1.07,0.3,0.5
road_h,0.042344965,low,0.011538462,0.365384615,0.623076923,0.023076923,0.58,1,0,4.186046512,grey,1,0.6,0.9
road_p,0.023843236,none,0,0.25,0.75,0.25,0.7,1,0,0.210218978,green,1,0.6,0.9
road_l,0.038851554,high,0,0.245454545,0.754545455,0.165454545,0.8,1,0,0.168278311,yellow,1,0.6,0.9
road_m,0.053818898,middle,0,0.290625,0.696875,0.015625,0.146153846,1,0,3.277,yellow,1,0.6,0.9
vland_l,0.039488372,low,0,1,0,0.243333333,0,1,0,0.015026816,yellow,1,0.9,1
vland_m,0.055914286,middle,0.127777778,0.738888889,0,0.15,0,1,0.000122684,7.658938523,red,1,0.9,1
vland_p,0.022081871,none,0.111111111,0.705555556,0.183333333,0.21,0,1,8.40266E-05,0.047154948,red,1,0.9,1
vland_h,0.038552632,low,0.033333333,0.791666667,0.1,0.2,0,1,0,0.217856272,red,1,0.9,1
